Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-12-31,1388.91,1473.13,1387.38,1469.25,21822988987
2000-01-31,1477.87,1478.38,1350.14,1394.46,23882666572
2000-02-29,1395.56,1444.52,1325.02,1366.42,23235555462
2000-03-31,1366.36,1553.1,1346.46,1498.58,29062444467
2000-04-28,1490.23,1527.13,1339.33,1452.43,22340510908
2000-05-31,1457.14,1481.44,1361.2,1420.64,22109222305
2000-06-30,1426.79,1488.98,1426.03,1454.6,24153666749
2000-07-31,1452.36,1517.25,1414.17,1430.83,21210110955
2000-08-31,1430.37,1525.3,1425.85,1517.68,22626333392
2000-09-29,1520.79,1530.03,1419.45,1436.51,23153666656
2000-10-31,1443.56,1454.57,1306.06,1429.39,28834888914
2000-11-30,1423.1,1438.44,1295.05,1314.95,22813666607
2000-12-29,1319.71,1388.81,1254.19,1320.28,26234222270
2001-01-31,1321.62,1383.37,1274.88,1367.11,30922000309
2001-02-28,1365.38,1376.16,1215.39,1236.81,24049333380
2001-03-30,1237.17,1267.27,1081.19,1160.33,30896233338
2001-04-30,1160.09,1269.3,1092.06,1249.46,28233322192
2001-05-31,1249.38,1315.89,1232,1255.82,27250999846
2001-06-29,1257.83,1286.59,1203.03,1224.79,27497810678
2001-07-31,1225.54,1239.74,1165.57,1211.23,26437455595
2001-08-31,1214.05,1226.29,1124.89,1133.58,25954666761
2001-09-28,1133.48,1155.47,944.07,1040.17,27805877666
2001-10-31,1039.3,1109.73,1026.03,1059.01,33279199479
2001-11-30,1061.1,1163.38,1053.52,1137.88,29255555411
2001-12-31,1135.44,1173.34,1114.5,1148.08,27920633175
2002-01-31,1148.08,1176.97,1081.66,1130.21,33051333213
2002-02-28,1130.2,1130.2,1074.36,1106.73,28941778109
2002-03-29,1106.73,1173.94,1106.73,1147.39,29514667048
2002-04-30,1147.39,1147.84,1063.46,1076.92,31743222234
2002-05-31,1076.92,1106.59,1048.96,1067.14,29894999989
2002-06-28,1067.14,1070.74,952.92,989.82,32962675389
2002-07-31,989.82,994.46,775.68,911.62,45571177814
2002-08-30,911.62,965,833.44,916.07,32553777682
2002-09-30,916.07,924.02,800.2,815.28,30804122454
2002-10-31,815.28,907.49,768.58,885.76,42062566685
2002-11-29,885.76,941.85,872.02,936.31,32445511204
2002-12-31,941.55,954.4,869.42,879.82,28591435614
2003-01-31,881.69,935.11,840.31,855.7,34166200317
2003-02-28,856.53,864.66,806.31,841.15,28039222044
2003-03-31,843.82,895.78,788.9,848.18,33422255315
2003-04-30,849.17,924.24,847.81,916.92,32966233030
2003-05-30,916.8,965.38,902.83,963.59,34391222138
2003-06-30,965.31,1015.33,964.47,974.5,32160770843
2003-07-31,973.83,1015.41,962.1,990.31,28540026596
2003-08-29,989.73,1011.01,960.84,1008.01,23246032969
2003-09-30,1008.01,1040.18,990.34,995.97,27400638860
2003-10-31,997.12,1053.72,997.12,1050.71,29464094057
2003-11-28,1051.75,1063.65,1031.24,1058.2,23108072581
2003-12-31,1061.89,1112.52,1053.52,1111.92,25267804846
2004-01-30,1112.61,1155.37,1105.02,1131.13,30849874679
2004-02-27,1131.92,1158.99,1124.45,1144.94,25276387934
2004-03-31,1146.15,1163.09,1087.48,1126.21,30173412694
2004-04-30,1126.21,1150.57,1107.24,1107.3,27450415692
2004-05-31,1108.88,1127.65,1076.39,1120.68,25572569030
2004-06-30,1120.68,1146.33,1113.4,1140.84,23920973748
2004-07-30,1140.84,1140.84,1078.85,1101.72,26525946404
2004-08-31,1101.72,1109.66,1060.74,1104.24,23343302260
2004-09-30,1103.35,1131.52,1099.31,1114.58,24774340835
2004-10-29,1114.58,1142.05,1090.23,1130.2,28214017328
2004-11-30,1130.2,1188.46,1127.63,1173.82,27307588646
2004-12-31,1173.83,1217.33,1173.76,1211.92,28961893971
2005-01-31,1213.43,1217.9,1163.75,1181.27,29637344902
2005-02-28,1181.26,1212.44,1181.03,1203.6,26491092386
2005-03-31,1204.72,1229.11,1163.69,1180.59,30984763639
2005-04-29,1181.44,1191.88,1136.22,1156.85,30891297183
2005-05-31,1156.85,1199.56,1146.18,1191.5,27081136831
2005-06-30,1191.07,1219.59,1188.3,1191.33,27207203935
2005-07-29,1191.33,1245.15,1183.55,1234.18,25691111443
2005-08-31,1234.86,1245.86,1201.07,1220.33,26900144262
2005-09-30,1219.71,1243.13,1205.35,1228.81,28934027568
2005-10-31,1228.81,1233.34,1168.2,1207.01,31375238827
2005-11-30,1205.85,1270.64,1201.07,1249.48,29501198127
2005-12-30,1249.48,1275.8,1246.59,1248.29,26903537494
2006-01-31,1252.03,1294.9,1245.74,1280.08,31746118570
2006-02-28,1280.08,1297.56,1253.61,1280.66,28876930048
2006-03-31,1281.65,1310.88,1268.42,1294.81,35055418368
2006-04-28,1302.88,1318.16,1280.74,1310.61,29534644096
2006-05-31,1311.1,1326.7,1245.34,1270.09,35754106624
2006-06-30,1270.22,1290.68,1219.29,1270.2,34453603584
